         ps       /tb_2/rst      /tb_2/countOut       
          delta     /tb_2/clk                         
                      /tb_2/upperBound                
    8150000  +1           0 1 00001011 00000001 
    8150000  +3           0 1 00001011 00000010 
    8200000  +1           0 0 00001011 00000010 
    8250000  +1           0 1 00001011 00000010 
    8250000  +3           0 1 00001011 00000011 
    8300000  +1           0 0 00001011 00000011 
    8350000  +1           0 1 00001011 00000011 
    8350000  +3           0 1 00001011 00000100 
    8400000  +1           0 0 00001011 00000100 
    8450000  +1           0 1 00001011 00000100 
    8450000  +3           0 1 00001011 00000101 
    8500000  +1           0 0 00001011 00000101 
    8550000  +1           0 1 00001011 00000101 
    8550000  +3           0 1 00001011 00000110 
    8600000  +1           0 0 00001011 00000110 
    8650000  +1           0 1 00001011 00000110 
    8650000  +3           0 1 00001011 00000111 
    8700000  +1           0 0 00001011 00000111 
    8750000  +1           0 1 00001011 00000111 
    8750000  +3           0 1 00001011 00001000 
    8800000  +1           0 0 00001011 00001000 
    8850000  +1           0 1 00001011 00001000 
    8850000  +3           0 1 00001011 00001001 
    8900000  +1           0 0 00001011 00001001 
    8950000  +1           0 1 00001011 00001001 
    8950000  +3           0 1 00001011 00000000 
    9000000  +1           0 0 00001011 00000000 
    9050000  +1           0 1 00001011 00000000 
    9050000  +3           0 1 00001011 00000001 
    9100000  +1           0 0 00001011 00000001 
    9150000  +1           0 1 00001011 00000001 
    9150000  +3           0 1 00001011 00000010 
    9200000  +1           0 0 00001011 00000010 
    9250000  +1           0 1 00001011 00000010 
    9250000  +3           0 1 00001011 00000011 
    9300000  +1           0 0 00001011 00000011 
    9350000  +1           0 1 00001011 00000011 
    9350000  +3           0 1 00001011 00000100 
    9400000  +1           0 0 00001011 00000100 
    9450000  +1           0 1 00001011 00000100 
    9450000  +3           0 1 00001011 00000101 
    9500000  +1           0 0 00001011 00000101 
    9550000  +1           0 1 00001011 00000101 
    9550000  +3           0 1 00001011 00000110 
    9600000  +1           0 0 00001011 00000110 
    9650000  +1           0 1 00001011 00000110 
    9650000  +3           0 1 00001011 00000111 
    9700000  +1           0 0 00001011 00000111 
    9750000  +1           0 1 00001011 00000111 
    9750000  +3           0 1 00001011 00001000 
    9800000  +1           0 0 00001011 00001000 
    9850000  +1           0 1 00001011 00001000 
    9850000  +3           0 1 00001011 00001001 
    9900000  +1           0 0 00001011 00001001 
    9950000  +1           0 1 00001011 00001001 
    9950000  +3           0 1 00001011 00001010 
   10000000  +1           0 0 00001011 00001010 
